word_id,root_id,sequence,sequence_2
1388,2752,3,NULL
1388,314,2,NULL
1104,510,2,NULL
1104,1098,1,NULL
1389,941,2,NULL
1389,1098,1,NULL
1390,1098,1,NULL
820,147,2,NULL
820,4055,3,NULL
1391,812,2,NULL
1391,147,1,NULL
1392,1035,2,NULL
1392,147,1,NULL
6508,485,2,NULL
1393,467,1,NULL
1157,163,2,NULL
1157,607,1,NULL
1157,959,3,NULL
1669,153,1,NULL
1669,902,3,NULL
1670,1064,3,NULL
1670,153,2,NULL
1670,379,1,NULL
1394,89,1,NULL
1394,153,2,NULL
1394,959,3,NULL
1006,58,1,NULL
1006,155,2,NULL
1006,1103,3,NULL
1398,1056,2,NULL
1398,1104,1,NULL
911,1076,2,NULL
911,1104,1,NULL
1399,1106,1,NULL
1399,994,2,NULL
1400,340,2,NULL
1400,1106,1,NULL
1400,864,3,NULL
1401,1108,2,NULL
1401,1106,1,NULL
1402,1106,1,NULL
1402,881,2,NULL
1403,182,1,NULL
1403,1109,2,NULL
1404,182,2,NULL
1404,467,1,NULL
1671,4243,3,NULL
1671,182,1,NULL
1405,542,3,NULL
1405,182,1,NULL
1244,185,1,NULL
1244,868,2,NULL
1414,4276,2,NULL
1674,4085,3,NULL
1674,200,2,NULL
1424,1113,2,NULL
1424,205,1,NULL
1676,845,2,NULL
1676,1836,1,NULL
841,804,2,NULL
841,1038,1,NULL
1428,2675,2,NULL
1428,240,1,NULL
1677,467,2,NULL
1677,1038,1,NULL
1429,467,1,NULL
1429,240,2,NULL
1311,888,3,NULL
1311,240,1,NULL
1311,4265,2,NULL
1678,91,1,NULL
1678,246,2,NULL
1431,4055,3,NULL
1431,246,1,NULL
1469,868,2,NULL
1469,344,1,NULL
892,1097,4,NULL
892,1049,3,NULL
1432,21,1,NULL
1432,2177,2,NULL
1433,43,1,NULL
1433,2177,2,NULL
718,445,2,NULL
718,822,3,NULL
718,1117,1,NULL
1680,271,2,NULL
1680,40,1,NULL
967,2111,1,NULL
967,178,2,NULL
1442,188,1,NULL
1442,2111,2,NULL
1442,869,3,NULL
1452,2111,1,NULL
1452,285,2,NULL
1445,868,3,NULL
1445,273,2,NULL
1445,58,1,NULL
1223,278,1,NULL
872,40,1,NULL
872,1118,3,NULL
872,278,2,NULL
872,1119,4,NULL
1447,24,1,NULL
1447,1120,2,NULL
1447,1945,3,NULL
1681,1024,1,NULL
1681,987,3,NULL
1681,1409,2,NULL
1449,690,2,NULL
1449,1024,1,NULL
1450,24,1,NULL
1450,725,2,NULL
1190,759,2,NULL
1190,1024,1,NULL
830,285,2,NULL
830,869,3,NULL
830,1081,1,NULL
1453,822,2,1
1453,297,1,2
1545,576,2,NULL
1454,3554,2,NULL
1454,297,1,NULL
1455,91,1,NULL
1455,297,2,NULL
1456,300,1,NULL
1456,908,2,NULL
1458,897,2,NULL
823,647,1,NULL
910,309,2,NULL
910,1104,1,NULL
1459,309,2,NULL
1459,21,1,NULL
1460,822,3,NULL
1460,309,2,NULL
1460,1085,1,NULL
1462,43,1,NULL
1462,2060,2,NULL
1463,759,2,NULL
1463,43,1,NULL
1464,994,1,NULL
1464,911,2,NULL
1466,340,2,NULL
1466,1123,3,NULL
1636,118,1,NULL
1636,338,2,NULL
1468,344,2,NULL
1468,1024,1,NULL
700,1127,1,NULL
700,1128,2,NULL
701,880,2,1
701,1129,1,2
702,880,2,1
702,1130,1,2
1470,344,2,NULL
1470,987,3,NULL
1880,699,2,NULL
1880,4085,3,NULL
1882,4085,3,NULL
1882,309,2,NULL
1883,767,2,NULL
1883,110,1,NULL
1884,4085,3,NULL
1884,505,2,NULL
1885,1820,2,NULL
1885,110,1,NULL
1528,118,1,NULL
1528,1820,2,NULL
1886,338,2,NULL
1886,1132,3,NULL
1473,352,2,NULL
1473,118,1,NULL
1565,118,1,NULL
1565,636,2,NULL
1619,4085,3,NULL
8927,133,1,NULL
1617,4181,2,NULL
1905,717,2,NULL
1609,717,1,NULL
1887,878,3,NULL
